dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.023007,0.000001,0.030000,1.200000,24.000000,480.000000,3.141531
0.050000,-0.143007,0.000027,0.150000,3.600000,48.000000,480.000000,3.141212
0.050000,-0.413007,0.000227,0.420000,7.200000,72.000000,480.000000,3.140492
0.050000,-0.893006,0.001064,0.900000,12.000000,96.000000,480.000000,3.139204
0.050000,-1.643001,0.003616,1.650000,18.000000,120.000000,480.000000,3.137175
0.050000,-2.722982,0.009981,2.730000,25.200000,144.000000,480.000000,3.134215
0.050000,-4.192916,0.023829,4.200000,33.600000,168.000000,480.000000,3.130114
0.050000,-6.112720,0.051109,6.120000,43.200000,192.000000,480.000000,3.124628
0.050000,-8.542203,0.100983,8.550000,54.000000,216.000000,480.000000,3.117464
0.050000,-11.540957,0.187058,11.550000,66.000000,240.000000,480.000000,3.108262
0.050000,-15.138189,0.327703,15.150000,78.000000,240.000000,0.000000,3.096661
0.050000,-19.332467,0.546158,19.350000,90.000000,240.000000,-0.000000,3.082294
0.050000,-24.091400,0.870001,24.120000,100.800000,216.000000,-480.000000,3.064779
0.050000,-29.351249,1.329741,29.400000,110.400000,192.000000,-480.000000,3.043731
0.050000,-35.046346,1.959864,35.130000,118.800000,168.000000,-480.000000,3.018650
0.050000,-41.108325,2.798942,41.250000,126.000000,144.000000,-480.000000,2.988902
0.050000,-47.465085,3.889721,47.700000,132.000000,120.000000,-480.000000,2.953693
0.050000,-54.039404,5.279043,54.420000,136.800000,96.000000,-480.000000,2.912054
0.050000,-60.747123,7.017351,61.350000,140.400000,72.000000,-480.000000,2.862832
0.050000,-67.494937,9.157284,68.430000,142.800000,48.000000,-480.000000,2.804731
0.050000,-74.178012,11.750627,75.600000,144.000000,24.000000,-480.000000,2.736428
0.050000,-80.678234,14.842513,82.800000,144.000000,0.000000,-480.000000,2.656845
0.050000,-86.889963,18.478191,90.000000,144.000000,0.000000,0.000000,2.565220
0.050000,-92.716780,22.702140,97.200000,144.000000,0.000000,0.000000,2.461528
0.050000,-98.048546,27.534949,104.400000,144.000000,0.000000,0.000000,2.347492
0.050000,-102.775818,32.959905,111.600000,144.000000,0.000000,0.000000,2.227036
0.050000,-106.811720,38.917084,118.800000,144.000000,0.000000,0.000000,2.105871
0.050000,-110.112290,45.311476,126.000000,144.000000,0.000000,0.000000,1.990065
0.050000,-112.684066,52.032911,133.200000,144.000000,0.000000,0.000000,1.884372
0.050000,-114.575842,58.977247,140.400000,144.000000,0.000000,0.000000,1.791366
0.050000,-115.861710,66.059553,147.600000,144.000000,0.000000,0.000000,1.711609
0.050000,-116.624733,73.217644,154.800000,144.000000,0.000000,0.000000,1.644355
0.050000,-116.945991,80.409528,162.000000,144.000000,0.000000,0.000000,1.588251
0.050000,-116.899110,87.608729,169.200000,144.000000,0.000000,0.000000,1.541807
0.050000,-116.548536,94.799751,176.400000,144.000000,0.000000,0.000000,1.503632
0.050000,-115.949800,101.974523,183.600000,144.000000,0.000000,0.000000,1.472538
0.050000,-115.150647,109.129846,190.800000,144.000000,0.000000,0.000000,1.447552
0.050000,-114.192415,116.265680,198.000000,144.000000,0.000000,0.000000,1.427905
0.050000,-113.111379,123.383995,205.200000,144.000000,0.000000,0.000000,1.413008
0.050000,-111.939960,130.488028,212.400000,144.000000,0.000000,0.000000,1.402426
0.050000,-110.707803,137.581800,219.600000,144.000000,0.000000,0.000000,1.395857
0.050000,-109.442708,144.669783,226.800000,144.000000,0.000000,0.000000,1.393115
0.050000,-108.171494,151.756673,234.000000,144.000000,0.000000,0.000000,1.394126
0.050000,-106.920794,158.847205,241.200000,144.000000,0.000000,0.000000,1.398916
0.050000,-105.717854,165.945981,248.400000,144.000000,0.000000,0.000000,1.407620
0.050000,-104.591360,173.057260,255.600000,144.000000,0.000000,0.000000,1.420484
0.050000,-103.572328,180.184691,262.800000,144.000000,0.000000,0.000000,1.437880
0.050000,-102.695120,187.330901,270.000000,144.000000,0.000000,0.000000,1.460324
0.050000,-101.998579,194.496891,277.200000,144.000000,0.000000,0.000000,1.488497
0.050000,-101.527327,201.681089,284.400000,144.000000,0.000000,0.000000,1.523277
0.050000,-101.333147,208.877928,291.600000,144.000000,0.000000,0.000000,1.565751
0.050000,-101.475958,216.068937,298.793218,143.728732,-5.425354,-108.507077,1.617171
0.050000,-102.020000,223.196735,305.942873,142.257465,-29.425354,-480.000000,1.678622
0.050000,-103.022874,230.169552,312.988965,139.586197,-53.425354,-480.000000,1.750669
0.050000,-104.524784,236.884212,319.871493,135.714929,-77.425354,-480.000000,1.833061
0.050000,-106.536111,243.229732,326.530458,130.643662,-101.425354,-480.000000,1.924273
0.050000,-109.025148,249.096467,332.905859,124.372394,-125.425354,-480.000000,2.021230
0.050000,-111.911419,254.390160,338.937697,116.901126,-149.425354,-480.000000,2.119542
0.050000,-115.069707,259.046225,344.565972,108.229858,-173.425354,-480.000000,2.214345
0.050000,-118.344894,263.037534,349.730683,98.358591,-197.425354,-480.000000,2.301376
0.050000,-121.571502,266.372019,354.371831,87.287323,-221.425354,-480.000000,2.377701
0.050000,-124.595479,269.086601,358.436197,75.287323,-240.000000,-371.492923,2.441936
0.050000,-127.303471,271.246666,361.900563,63.287323,-240.000000,0.000000,2.494208
0.050000,-129.629092,272.930056,364.771711,51.558591,-234.574646,108.507077,2.535567
0.050000,-131.552478,274.217696,367.086422,41.029858,-210.574646,480.000000,2.567535
0.050000,-133.091165,275.186407,368.904697,31.701126,-186.574646,480.000000,2.591762
0.050000,-134.275760,275.897856,370.286535,23.572394,-162.574646,480.000000,2.609649
0.050000,-135.145470,276.402260,371.291936,16.643662,-138.574646,480.000000,2.622378
0.050000,-135.745099,276.741546,371.980901,10.914929,-114.574646,480.000000,2.630961
0.050000,-136.123014,276.951927,372.413429,6.386197,-90.574646,480.000000,2.636292
0.050000,-136.329766,277.065913,372.649521,3.057465,-66.574646,480.000000,2.639184
0.050000,-136.417136,277.113847,372.749176,0.928732,-42.574646,480.000000,2.640400
0.050000,-136.437500,277.125000,372.772394,0.000000,-18.574646,480.000000,2.640683
0.050000,-136.437500,277.125000,372.772394,0.000000,0.000000,371.492923,2.640683
